nombre producto,precio,link,categoria,fecha
Zapatilla Mujer Summertide™,$99.990,https://www.columbiachile.cl/zapatilla-mujer-summertide-columbia-1928641/p?property__Color=%28554%29%20SHALE%20PURPLE,footwear,2022-08-15
Sandalia Solana™ Slide,$49.990,https://www.columbiachile.cl/clb-sandalia-mujer-solana-slide-1826411/p?property__Color=%28269%29%20SADDLE,footwear,2022-08-15
Redmond V2 Mid Wp,$129.990,https://www.columbiachile.cl/botin-mujer-redmond-v2-mid-wp-columbia-1865321/p?property__Color=%28010%29%20BLACK,footwear,2022-08-15
Redmond V2 Mid Wp,$129.990,https://www.columbiachile.cl/botin-mujer-redmond-v2-mid-wp-columbia-1865321/p?property__Color=%28088%29%20STEAM,footwear,2022-08-15
Bota 100Mw™ Mid Outdry™,$149.990,https://www.columbiachile.cl/clb-bota-mujer-100-mw-mid-outdry-1865381/p?property__Color=%28053%29%20GRAPHITE,footwear,2022-08-15
Sandalia Columbia™ Flip,$34.990,https://www.columbiachile.cl/clb-sandalia-hombre-columbia-flip-1897731/p?property__Color=%28088%29%20STEAM,footwear,2022-08-15
Sandalia Columbia™ Flip,$34.990,https://www.columbiachile.cl/clb-sandalia-mujer-columbia-flip-1897771/p?property__Color=%28010%29%20BLACK,footwear,2022-08-15
Botín Crestwood Mid Water,$114.990,https://www.columbiachile.cl/clb-botin-hombre-crestwood-mid-water-1765381-f2/p?property__Color=%28203%29%20DARK%20BROWN,footwear,2022-08-15
Crestwood Mid Water,$114.990,https://www.columbiachile.cl/botin-hombre-crestwood-mid-water-columbia-1765381/p?property__Color=%28231%29%20CORDOVAN,footwear,2022-08-15
Crestwood Mid Water,$114.990,https://www.columbiachile.cl/botin-hombre-crestwood-mid-water-columbia-1765381/p?property__Color=%28014%29%20BLACK,footwear,2022-08-15
Crestwood Waterproof,$99.990,https://www.columbiachile.cl/zapatilla-hombre-crestwood-waterproof-columbia-1765391/p?property__Color=%28255%29%20MUD,footwear,2022-08-15
Escape Thrive Endure,$179.990,https://www.columbiachile.cl/zapatilla-mujer-escape-thrive-endure-columbia-1979581/p?property__Color=%28010%29%20BLACK,footwear,2022-08-15
Escape&Trade; Thrive Ultra,$169.990,https://www.columbiachile.cl/zapatilla-mujer-escape-thrive-ultra-columbia-1979571/p?property__Color=%28010%29%20BLACK,footwear,2022-08-15
Escape&Trade; Thrive Ultra,$169.990,https://www.columbiachile.cl/zapatilla-mujer-escape-thrive-ultra-columbia-1979571/p?property__Color=%28036%29%20MONUMENT,footwear,2022-08-15
Facet 15,$109.990,https://www.columbiachile.cl/zapatilla-hombre-facet-15-columbia-1903411/p?property__Color=%28014%29%20BLACK,footwear,2022-08-15
Botín Isoterra™ Mid Outdry™,$94.990,https://www.columbiachile.cl/clb-botin-mujer-isoterra-mid-outdry-1827101/p?property__Color=%28255%29%20MUD,footwear,2022-08-15
Newton Ridge Lt Wp,$134.990,https://www.columbiachile.cl/botin-mujer-newton-ridge-lt-wp-columbia-1889141/p?property__Color=%28043%29%20NIMBUS%20GREY,footwear,2022-08-15
Newton Ridge Water,$134.990,https://www.columbiachile.cl/botin-mujer-newton-ridge-water-columbia-1718821/p?property__Color=%28286%29%20ELK,footwear,2022-08-15
Peakfreak X2 Outdry,$139.990,https://www.columbiachile.cl/zapatilla-mujer-peakfreak-x2-outdry-columbia-1865201/p?property__Color=%28010%29%20BLACK,footwear,2022-08-15
Peakfreak X2 Outdry,$139.990,https://www.columbiachile.cl/zapatilla-mujer-peakfreak-x2-outdry-columbia-1865201/p?property__Color=%28616%29%20MARIONBERRY,footwear,2022-08-15
Peakfreak X2 Outdry,$139.990,https://www.columbiachile.cl/zapatilla-mujer-peakfreak-x2-outdry-columbia-1865201/p?property__Color=%28053%29%20GRAPHITE,footwear,2022-08-15
Plateau Waterproof,$109.990,https://www.columbiachile.cl/zapatilla-hombre-plateau-waterproof-columbia-1987061/p?property__Color=%28319%29%20OLIVE%20GREEN,footwear,2022-08-15
Plateau Waterproof,$109.990,https://www.columbiachile.cl/zapatilla-mujer-plateau-waterproof-columbia-1987101/p?property__Color=%28031%29%20CIRRUS%20GREY,footwear,2022-08-15
